Country,Industry,Carbon_emission
DNK,E36,5.454
DNK,E37-E39,1328.8210000000001
DNK,F,1276.9270000000001
DNK,G45,234.673
DNK,G46,502.738
DNK,G47,149.478
DNK,H49,2855.022
DNK,H50,30861.579
DNK,H51,3134.889
DNK,H52,181.798
DNK,H53,83.73100000000001
DNK,I,101.629
DNK,J58,8.286
DNK,J59_J60,17.96
DNK,J61,12.206
DNK,J62_J63,31.015
DNK,K64,38.04
DNK,K65,6.814
DNK,K66,3.668
DNK,L68,105.647
DNK,M69_M70,52.136
DNK,M71,44.483000000000004
DNK,M72,6.353
DNK,M73,12.724
DNK,M74_M75,18.292
DNK,N,210.12800000000001
DNK,O84,368.20300000000003
DNK,P85,138.059
DNK,Q,166.08
DNK,R_S,114.345
DNK,T,0.0
DNK,U,0.0
DNK,FC_HH,8056.479
ESP,A01,9674.788
ESP,A02,120.74300000000001
ESP,A03,4248.837
ESP,B,2586.663
ESP,C10-C12,1780.999
ESP,C13-C15,702.158
ESP,C16,1478.347
ESP,C17,3611.515
ESP,C18,285.65500000000003
ESP,C19,15760.969000000001
ESP,C20,9198.234
ESP,C21,301.683
ESP,C22,36.074
ESP,C23,25932.58
ESP,C24,10608.947
ESP,C25,268.444
ESP,C26,58.631
ESP,C27,545.642
ESP,C28,509.875
ESP,C29,884.376
ESP,C30,191.54
ESP,C31_C32,19.91
ESP,C33,24.751
ESP,D35,61748.679000000004
ESP,E36,43.516
ESP,E37-E39,1334.306
ESP,F,362.648
ESP,G45,525.4830000000001
ESP,G46,2019.95
ESP,G47,1393.0710000000001
ESP,H49,31144.113
ESP,H50,1049.133
ESP,H51,11876.322
ESP,H52,534.863
ESP,H53,52.893
ESP,I,693.708
ESP,J58,25.473
ESP,J59_J60,92.176
ESP,J61,167.995
ESP,J62_J63,269.199
ESP,K64,89.245
ESP,K65,34.749
ESP,K66,124.159
ESP,L68,47.215
ESP,M69_M70,103.774
ESP,M71,133.399
ESP,M72,72.85000000000001
ESP,M73,38.93
ESP,M74_M75,34.639
ESP,N,224.17600000000002
ESP,O84,2116.727
ESP,P85,482.879
ESP,Q,1050.75
ESP,R_S,778.818
ESP,T,0.0
ESP,U,0.0
ESP,FC_HH,62888.334
EST,A01,55.363
EST,A02,21.632
EST,A03,12.466000000000001
EST,B,92.711
EST,C10-C12,221.46
EST,C13-C15,33.721000000000004
EST,C16,54.713
EST,C17,60.621
EST,C18,9.863
EST,C19,1040.3410000000001
EST,C20,13.087
EST,C21,3.87
EST,C22,13.308
EST,C23,872.446
EST,C24,5.726
EST,C25,35.772
EST,C26,10.205
EST,C27,10.013
EST,C28,15.893
EST,C29,15.34
EST,C30,1.395
EST,C31_C32,25.857
EST,C33,7.648000000000001
EST,D35,13370.382
EST,E36,4.065
EST,E37-E39,25.544
EST,F,146.584
EST,G45,20.586000000000002
EST,G46,71.887
EST,G47,55.587
EST,H49,902.9010000000001
EST,H50,732.402
